iter	Passed	Remaining
0	147	14572
1	149	7313
2	151	4887
3	153	3677
4	155	2946
5	157	2459
6	159	2112
7	160	1850
8	162	1644
9	164	1481
10	166	1347
11	168	1234
12	170	1138
13	172	1057
14	173	985
15	175	922
16	177	867
17	179	818
18	181	773
19	183	733
20	185	696
21	187	663
22	188	632
23	190	604
24	192	578
25	194	553
26	196	531
27	198	510
28	200	491
29	202	472
30	204	455
31	206	439
32	209	424
33	211	410
34	213	396
35	215	383
36	217	370
37	219	357
38	221	345
39	222	334
40	224	323
41	226	313
42	228	303
43	230	293
44	232	284
45	234	274
46	236	266
47	238	257
48	239	249
49	241	241
50	243	234
51	245	226
52	247	219
53	249	212
54	251	205
55	253	199
56	255	192
57	257	186
58	259	180
59	261	174
60	262	168
61	264	162
62	267	156
63	269	151
64	271	146
65	273	141
66	276	136
67	277	130
68	279	125
69	281	120
70	283	115
71	285	110
72	287	106
73	289	101
74	290	96
75	292	92
76	294	88
77	296	83
78	298	79
79	300	75
80	302	70
81	304	66
82	306	62
83	307	58
84	309	54
85	311	50
86	313	46
87	315	42
88	317	39
89	319	35
90	321	31
91	323	28
92	326	24
93	329	21
94	331	17
95	334	13
96	337	10
97	339	6
98	341	3
99	343	0
